created_at;author.username;text
22-08-2016 0:01;lramirez;The latest Resonancias y latidos! https://t.co/UvQ6vFju2p Thanks to @rvfradiopopular @Farmappchile @danny_taylor68 #nomasafp #rio2016
21-08-2016 23:11;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/TrCIzvNayF Thanks to @R_Montero_R @papurri_pop @pipelalo #nomasafp #nomasafps
21-08-2016 22:06;yasnapradena;Somos miles #NOMasAFP !!!!! https://t.co/pXejMdowXe
21-08-2016 20:30;mariela2770;The latest Libertad para Expresarse! https://t.co/VP8wPIQZyP Thanks to @COLECTIVODIGNID @Luisa_Ast13 @radicalyfeliz #rio2016 #nomasafp
21-08-2016 19:45;Amanoticiascl;The latest El Diario de AmaNoticias! https://t.co/w29TD7gszV Thanks to @gutierrezpato @ElQueNoAplica @Jhonbugueo #nomasafp #splprofi
21-08-2016 18:19;lucia09449792;@litofernandez1 \n2 millones dicen \n#NOMasAFP https://t.co/pRUDMPxgp8
21-08-2016 17:18;RespiratorioCL;The latest El Diario de Respiratorio Chile! https://t.co/Wuh1q5pwmc Thanks to @jgigoux @luisdiazrobles @CarolaZelada #nomasafp #obesity
21-08-2016 16:44;gisellavm;#NOMasAFP #Rancagua marchando! https://t.co/yWJiuos6nu
21-08-2016 16:41;CieloAustralCoq;Q horror !!!  #NOMasAFP @chileconvoca https://t.co/GdfDYlj5rS
21-08-2016 16:37;maneriquelme;#Alfabetizando con #Arte y #Cultura #Valparaiso #NoMasAFP https://t.co/mAPuYTSeaA
21-08-2016 15:11;OrganitY_;Grande Chile #NOMasAFP
21-08-2016 15:07;ciberviviente;The latest El CIBERVIVIENTE Diario! https://t.co/ALrFM51LJ9 Thanks to @clautierna @paismel @CatalystPart #nomasafp #marketing
21-08-2016 15:03;v3rdelimon;Es momento de moverse!!!!\n#NoMasRobos\n#NoMasCorrupcion\n????????????????\n#NOMasAFP !!! https://t.co/7yPsrfcVXv
